scenario,run,window,n_gaps,median_gap_us,p99_gap_us,max_gap_us
S7_3g_neuralrx,1,4,2120,1.216,979.122,1040.689
S7_3g_neuralrx,1,5,2129,1.216,976.787,1016.498
S7_3g_neuralrx,1,6,2135,1.216,978.93,994.322
S7_3g_neuralrx,1,7,2127,1.216,978.354,994.162
S7_3g_neuralrx,1,8,2131,1.216,978.387,1042.289
S7_3g_neuralrx,1,9,2028,1.216,986.002,5629.395
S7_3g_neuralrx,2,0,16,23.52,108055.567,108055.567
S7_3g_neuralrx,2,1,21,112.639,71778.883,71778.883
S7_3g_neuralrx,2,2,2028,1.216,979.698,69638.849
S7_3g_neuralrx,2,3,2585,1.216,985.491,1084.017
S7_3g_neuralrx,2,4,1062,1.216,2910.232,62632.458
S7_3g_neuralrx,2,5,792,1.216,3141.461,69276.559
S7_3g_neuralrx,2,6,2428,1.216,979.762,3326.642
S7_3g_neuralrx,2,7,1286,1.216,1794.023,34691.398
S7_3g_neuralrx,2,8,2568,1.216,979.667,2051.748
S7_3g_neuralrx,2,9,2589,1.216,978.739,2331.264
S7_3g_neuralrx,3,0,16,23.552,109402.087,109402.087
S7_3g_neuralrx,3,1,20,120.19,73992.332,73992.332
S7_3g_neuralrx,3,2,1181,1.216,977.97,72177.029
S7_3g_neuralrx,3,3,2329,1.216,971.411,1274.958
S7_3g_neuralrx,3,4,2352,1.216,976.082,1162.544
S7_3g_neuralrx,3,5,2343,1.216,978.802,1542.251
S7_3g_neuralrx,3,6,2347,1.216,977.715,1267.535
